"fips_state","fips_county","population_5_11"
"12","12086",208768
"12","12087",4410
"12","12089",6924
"12","12091",18657
"12","12093",3386
"12","12095",119113
"12","12097",35306
"12","12099",108634
"12","12101",44442
"12","12103",59782
"12","12105",62249
"12","12107",6224
"12","12109",22993
"12","12111",25078
"12","12113",15710
"12","12115",23428
"12","12117",38236
"12","12119",3709
"12","12121",3691
"12","12123",1722
"12","12125",1190
"12","12127",37970
"12","12129",2666
"12","12131",6022
"12","12133",1952
"13","13001",1843
"13","13003",816
"13","13005",1093
"13","13007",211
"13","13009",3270
"13","13011",1597
"13","13013",8547
"13","13015",9791
"13","13017",1614
"13","13019",1719
"13","13021",14655
"13","13023",1020
"13","13025",1697
"13","13027",1346
"13","13029",4683
"13","13031",6021
"13","13033",2240
"13","13035",2012
"13","13037",396
"13","13039",5423
"13","13043",1071
"13","13045",10758
"13","13047",5904
"13","13049",1004
"13","13051",23336
"13","13053",989
"13","13055",2186
"13","13057",23942
"13","13059",8674
"13","13061",198
"13","13063",32011
"13","13065",681
"13","13067",67845
"13","13069",4118
"13","13071",4709
"13","13073",15636
"13","13075",1655
"13","13077",13828
"13","13079",982
"13","13081",2029
"13","13083",1202
"13","13085",2002
"13","13087",2443
"13","13089",67958
"13","13091",1561
"13","13093",848
"13","13095",8214
"13","13097",14467
"13","13099",969
"13","13101",496
"13","13103",6805
"13","13105",1703
"13","13107",2197
"13","13109",1104
"13","13111",1576
"13","13113",10031
"13","13115",8774
"13","13117",26459
"13","13119",1965
"13","13121",88463
"13","13123",2245
"13","13125",262
"13","13127",7162
"13","13129",5318
"13","13131",2355
"13","13133",1450
"13","13135",97257
"13","13137",3959
"13","13139",19241
"13","13141",502
"13","13143",2778
"13","13145",2948
"13","13147",2107
"13","13149",1063
"13","13151",22367
"13","13153",16031
"13","13155",736
"13","13157",7235
"13","13159",1271
"13","13161",1563
"13","13163",1374
"13","13165",678
"13","13167",637
"13","13169",2521
"13","13171",1533
"13","13173",1031
"13","13175",4542
"13","13177",3160
"13","13179",6558
"13","13181",568
"13","13183",2118
"13","13185",11362
"13","13187",2241
"13","13189",2148
"13","13191",832
"13","13193",912
"13","13195",2699
"13","13197",694
"13","13199",1704
"13","13201",503
"13","13205",1952
"13","13207",2196
"13","13209",731
"13","13211",1582
"13","13213",3625
"13","13215",19443
"13","13217",11019
"13","13219",4261
"13","13221",1198
"13","13223",17044
"13","13225",2204
"13","13227",2397
"13","13229",1805
"13","13231",1593
"13","13233",4164
"13","13235",801
"13","13237",1701
"13","13239",141
"13","13241",1043
"13","13243",563
"13","13245",17965
"13","13247",8390
"13","13249",472
"13","13251",1148
"13","13253",649
"13","13255",6111
"13","13257",2212
"13","13259",297
"13","13261",2623
"13","13263",370
"13","13265",106
"13","13267",2090
"13","13269",618
"13","13271",923
"13","13273",777
"13","13275",4184
"13","13277",3848
"13","13279",2704
"13","13281",574
"13","13283",628
"13","13285",6513
"13","13287",744
"13","13289",622
"13","13291",1408
"13","13293",2301
"13","13295",5797
"13","13297",8924
"13","13299",3400
"13","13301",392
"13","13303",1757
"13","13305",2846
"13","13307",157
"13","13309",511
"13","13311",2274
"13","13313",10410
"13","13315",618
"13","13317",807
"13","13319",775
"13","13321",1754
"15","15001",17643
"15","15003",81686
"15","15005",0
"15","15007",6316
"15","15009",14644
"16","16001",43780
"16","16003",296
"16","16005",8855
"16","16007",656
"16","16009",841
"16","16011",5797
"16","16013",1821
"16","16015",445
"16","16017",3471
"16","16019",14343
"16","16021",1072
"16","16023",248
"16","16025",107
"16","16027",25333
"16","16029",850
"16","16031",2986
"16","16033",66
"16","16035",499
"16","16037",275
"16","16039",2674
"16","16041",1675
"16","16043",1152
"16","16045",1615
"16","16047",1647
"16","16049",1280
"16","16051",4080
"16","16053",2955
"16","16055",14763
"16","16057",2900
"16","16059",572
"16","16061",347
"16","16063",577
"16","16065",3468
"16","16067",2472
"16","16069",3381
"16","16071",519
"16","16073",1132
"16","16075",2456
"16","16077",966
"16","16079",970
"16","16081",1208
"16","16083",9642
"16","16085",835
"16","16087",858
"17","17001",5689
"17","17003",511
"17","17005",1158
"17","17007",4895
"17","17009",405
"17","17011",2603
"17","17013",389
"17","17015",1050
"17","17017",1074
"17","17019",15229
"17","17021",2527
"17","17023",1373
"17","17025",1168
"17","17027",2993
"17","17029",3525
"17","17031",429683
"17","17033",1458
"17","17035",951
"17","17037",8820
"17","17039",1248
"17","17041",1812
"17","17043",79973
"17","17045",1313
"17","17047",580
"17","17049",3153
"17","17051",1641
"17","17053",1114
"17","17055",3251
"17","17057",2563
"17","17059",365
"17","17061",1073
"17","17063",4992
"17","17065",659
"17","17067",1423
"17","17069",263
"17","17071",479
"17","17073",4198
"17","17075",2210
"17","17077",3933
"17","17079",849
"17","17081",3279
"17","17083",1660
"17","17085",1562
"17","17087",889
"17","17089",50899
"17","17091",9328
"17","17093",14549
"17","17095",3689
"17","17097",64179
"17","17099",8720
"17","17101",1164
"17","17103",2644
"17","17105",2925
"17","17107",2077
"17","17109",1974
"17","17111",27301
"17","17113",14160
"17","17115",8920
"17","17117",3598
"17","17119",22404
"17","17121",3417
"17","17123",887
"17","17125",1060
"17","17127",1148
"17","17129",1005
"17","17131",1275
"17","17133",2926
"17","17135",2234
"17","17137",2392
"17","17139",1404
"17","17141",4408
"17","17143",16445
"17","17145",1529
"17","17147",1386
"17","17149",1322
"17","17151",166
"17","17153",394
"17","17155",423
"17","17157",2334
"17","17159",1370
"17","17161",12392
"17","17163",23752
"17","17165",1804
"17","17167",16514
"17","17169",480
"17","17171",401
"17","17173",1750
"17","17175",460
"17","17177",3626
"17","17179",11698
"17","17181",1293
"17","17183",6946
"17","17185",966
"17","17187",1378
"17","17189",1082
"17","17191",1413
"17","17193",1206
"17","17195",4680
"17","17197",64550
"17","17199",5637
"17","17201",25281
"17","17203",3622
"18","18001",4395
"18","18003",37704
"18","18005",7949
"18","18007",836
"18","18009",987
"18","18011",7136
"18","18013",1007
"18","18015",1723
