"date_from_approval","pct_dose1_5-11","pct_dose1_12-15","pct_complete_5-11","pct_complete_12-15"
202,,59.3,,49.5
203,,59.4,,49.6
204,,59.5,,49.7
205,,59.6,,49.8
206,,59.6,,49.9
207,,59.7,,49.9
208,,59.7,,50
209,,59.8,,50.1
210,,59.9,,50.1
211,,60,,50.2
212,,60,,50.3
213,,60.1,,50.4
214,,60.1,,50.4
215,,60.2,,50.5
216,,60.3,,50.6
217,,60.3,,50.7
218,,60.4,,50.7
219,,60.5,,50.8
220,,60.6,,50.8
221,,60.6,,50.8
222,,60.7,,50.9
223,,60.8,,51
224,,60.9,,51
225,,60.9,,51.1
226,,61,,51.1
227,,61,,51.1
228,,61,,51.1
229,,61.1,,51.2
230,,61.2,,51.3
231,,61.3,,51.4
232,,61.4,,51.4
233,,61.5,,51.4
234,,61.5,,51.5
235,,61.5,,51.5
236,,61.6,,51.5
237,,61.7,,51.6
238,,61.8,,51.7
239,,61.9,,51.7
240,,62,,51.8
241,,62.1,,51.9
242,,62.2,,52
243,,62.3,,52
244,,62.3,,52
245,,62.3,,52
